n_modes,hidden,n_layers,best_epoch,val_mse_best,test_mse,val_corr,test_corr,val_rms_ratio,test_rms_ratio,val_alpha,test_alpha,time_sec
256,32,4,77,0.13879001089211168,0.13577072459868608,0.4275105595588684,0.40202075242996216,0.5173199515079285,0.48379443739875866,0.8264266848564148,0.8308646082878113,328.84530758857727
192,32,4,117,0.13953604574861198,0.13659890597214513,0.5779284834861755,0.42290884256362915,0.4773509536083098,0.4577417549029325,1.2105923891067505,0.923750638961792,329.9018430709839
192,96,4,173,0.145393505692482,0.1425617985395403,0.29663997888565063,0.20531880855560303,0.4073688173663259,0.30567162732422254,0.7281268239021301,0.6713389754295349,401.00771832466125
256,96,4,166,0.14746243121295138,0.14303139187875225,0.17231310904026031,0.29138949513435364,0.3326914516229721,0.31088476383744224,0.5179580450057983,0.9373078346252441,423.8546106815338
64,96,4,195,0.15375351443372923,0.1557869304275308,0.16233353316783905,-0.06867428123950958,0.09572938857779556,0.09434681833007268,1.6958110332489014,-0.7278963923454285,350.60243368148804
64,32,4,162,0.15418546672525077,0.1567302385241177,0.11635877192020416,-0.05030934512615204,0.14429094259802866,0.16344556823592554,0.8064192533493042,-0.30778196454048157,236.72590517997742
128,32,4,177,0.15474647386320706,0.1579458652136152,-0.04050362482666969,-0.0994459018111229,0.13204543325773202,0.10820300642487808,-0.30673861503601074,-0.9190434813499451,331.7486207485199
192,64,4,197,0.1567266609134345,0.15802208881009802,-0.12751777470111847,0.01979808695614338,0.07910206809011719,0.0784469650214597,-1.612120270729065,0.252372145652771,335.736695766449
256,64,4,195,0.15712357851965675,0.15813711119312074,-0.3221796154975891,0.0584590882062912,0.04793827959273298,0.04689372709764451,-6.720884323120117,1.246677279472351,341.6695091724396
64,64,4,12,0.1574707262474915,0.1582605921275626,0.08138398826122284,-0.108251191675663,0.009807007294297792,0.009499005774463751,8.296720504760742,-11.393545150756836,313.3682336807251
128,96,4,6,0.15748235891605245,0.1582745082132806,0.01909022219479084,-0.06535936892032623,0.009992169767081109,0.009645816290278017,1.6725413799285889,-5.9659247398376465,366.1079840660095
128,64,4,1,0.15755513207665806,0.158347580821729,0.05923595279455185,0.036566317081451416,0.0010303148642152983,0.0009732576807009655,40.974246978759766,27.290576934814453,335.2190754413605
